,column,description,dtype,missing_percentage,unique_count,example_values
72,max_bal_bc,Maximum current balance owed on all revolving accounts,float64,38.31,33726,"[722.0, 6472.0, 2081.0, 6987.0, 9702.0]"
73,all_util,Balance to credit limit on all trades,float64,38.32,188,"[34.0, 29.0, 65.0, 45.0, 78.0]"
74,total_rev_hi_lim,Total revolving high credit/credit limit,float64,3.11,34220,"[9300.0, 111800.0, 14000.0, 67300.0, 34000.0]"
75,inq_fi,Number of personal finance inquiries,float64,38.31,33,"[3.0, 0.0, 2.0, 1.0, 5.0]"
76,total_cu_tl,Number of finance trades,float64,38.31,62,"[1.0, 0.0, 5.0, 2.0, 3.0]"
77,inq_last_12m,Number of credit inquiries in past 12 months,float64,38.31,48,"[4.0, 6.0, 1.0, 0.0, 3.0]"
78,acc_open_past_24mths,Number of trades opened in past 24 months.,float64,2.21,57,"[4.0, 6.0, 2.0, 10.0, 0.0]"
79,avg_cur_bal,Average current balance of all accounts,float64,3.11,88597,"[20701.0, 9733.0, 31617.0, 23192.0, 27644.0]"
80,bc_open_to_buy,Total open to buy on revolving bankcards.,float64,3.32,91500,"[1506.0, 57830.0, 2737.0, 54962.0, 4567.0]"
81,bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,float64,3.37,1494,"[37.2, 27.1, 55.9, 12.1, 77.5]"
82,chargeoff_within_12_mths,Number of charge-offs within 12 months,float64,0.01,11,"[0.0, 1.0, 2.0, 3.0, 6.0]"
83,delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,float64,0.0,2617,"[0.0, 687.0, 40.0, 36.0, 6.0]"
84,mo_sin_old_il_acct,Months since oldest bank installment account opened,float64,6.15,566,"[148.0, 113.0, 125.0, 36.0, 128.0]"
85,mo_sin_old_rev_tl_op,Months since oldest revolving account opened,float64,3.11,787,"[128.0, 192.0, 184.0, 87.0, 210.0]"
86,mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened,float64,3.11,333,"[3.0, 2.0, 14.0, 4.0, 32.0]"
87,mo_sin_rcnt_tl,Months since most recent account opened,float64,3.11,232,"[3.0, 2.0, 14.0, 4.0, 32.0]"
88,mort_acc,Number of mortgage accounts.,float64,2.21,47,"[1.0, 4.0, 5.0, 6.0, 0.0]"
89,mths_since_recent_bc,Months since most recent bankcard account opened.,float64,3.25,546,"[4.0, 2.0, 101.0, 36.0, 12.0]"
90,mths_since_recent_bc_dlq,Months since most recent bankcard delinquency,float64,77.01,177,"[69.0, 12.0, 48.0, 30.0, 76.0]"
91,mths_since_recent_inq,Months since most recent inquiry.,float64,13.07,26,"[4.0, 0.0, 10.0, 1.0, 8.0]"
92,mths_since_recent_revol_delinq,Months since most recent revolving delinquency.,float64,67.25,179,"[69.0, 6.0, 12.0, 42.0, 29.0]"
93,num_accts_ever_120_pd,Number of accounts ever 120 or more days past due,float64,3.11,44,"[2.0, 0.0, 1.0, 4.0, 12.0]"
94,num_actv_bc_tl,Number of currently active bankcard accounts,float64,3.11,42,"[2.0, 5.0, 4.0, 6.0, 3.0]"
95,num_actv_rev_tl,Number of currently active revolving trades,float64,3.11,57,"[4.0, 5.0, 3.0, 6.0, 2.0]"
96,num_bc_sats,Number of satisfactory bankcard accounts,float64,2.59,60,"[2.0, 13.0, 8.0, 5.0, 4.0]"
97,num_bc_tl,Number of bankcard accounts,float64,3.11,76,"[5.0, 17.0, 4.0, 10.0, 9.0]"
98,num_il_tl,Number of installment accounts,float64,3.11,122,"[3.0, 6.0, 2.0, 10.0, 7.0]"
99,num_op_rev_tl,Number of open revolving accounts,float64,3.11,81,"[4.0, 20.0, 10.0, 7.0, 9.0]"
100,num_rev_accts,Number of revolving accounts,float64,3.11,117,"[9.0, 27.0, 7.0, 13.0, 19.0]"
101,num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,float64,3.11,50,"[4.0, 5.0, 3.0, 6.0, 2.0]"
102,num_sats,Number of satisfactory accounts,float64,2.59,91,"[7.0, 22.0, 6.0, 13.0, 12.0]"
103,num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),float64,6.8,7,"[0.0, 1.0, 2.0, 6.0, 3.0]"
104,num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),float64,3.11,5,"[0.0, 1.0, 2.0, 4.0, 3.0]"
105,num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,float64,3.11,34,"[0.0, 1.0, 2.0, 4.0, 12.0]"
106,num_tl_op_past_12m,Number of accounts opened in past 12 months,float64,3.11,33,"[3.0, 2.0, 0.0, 1.0, 4.0]"
107,pct_tl_nvr_dlq,Percent of trades never delinquent,float64,3.12,690,"[76.9, 97.4, 100.0, 96.6, 96.3]"
108,percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.,float64,3.34,284,"[0.0, 7.7, 50.0, 60.0, 100.0]"
109,pub_rec_bankruptcies,Number of public record bankruptcies,float64,0.06,12,"[0.0, 1.0, 2.0, 3.0, 8.0]"
110,tax_liens,Number of tax liens,float64,0.01,42,"[0.0, 2.0, 1.0, 3.0, 5.0]"
111,tot_hi_cred_lim,Total high credit/credit limit,float64,3.11,529972,"[178050.0, 314017.0, 218418.0, 381215.0, 439570.0]"
112,total_bal_ex_mort,Total credit balance excluding mortgage,float64,2.21,212777,"[7746.0, 39475.0, 18696.0, 52226.0, 95768.0]"
113,total_bc_limit,Total bankcard high credit/credit limit,float64,2.21,20309,"[2400.0, 79300.0, 6200.0, 62500.0, 20300.0]"
114,total_il_high_credit_limit,Total installment high credit/credit limit,float64,3.11,194137,"[13734.0, 24667.0, 14877.0, 18000.0, 88097.0]"
115,revol_bal_joint,"Sum of revolving credit balance of the co-borrowers, net of duplicate balances",float64,95.22,56875,"[7101.0, 22716.0, 16495.0, 35634.0, 44740.0]"
116,sec_app_fico_range_low,FICO range (high) for the secondary applicant,float64,95.22,62,"[610.0, 665.0, 670.0, 690.0, 640.0]"
117,sec_app_fico_range_high,FICO range (low) for the secondary applicant,float64,95.22,62,"[614.0, 669.0, 674.0, 694.0, 644.0]"
118,sec_app_earliest_cr_line,Earliest credit line at time of application for the secondary applicant,str,95.22,663,"['Feb-2005', 'Oct-1987', 'Feb-2013', 'Mar-2003', 'May-2016']"
119,sec_app_inq_last_6mths,Credit inquiries in the last 6 months at time of application for the secondary applicant,float64,95.22,7,"[3.0, 0.0, 2.0, 1.0, 5.0]"
120,sec_app_mort_acc,Number of mortgage accounts at time of application for the secondary applicant,float64,95.22,23,"[1.0, 0.0, 2.0, 3.0, 4.0]"
121,sec_app_open_acc,Number of open trades at time of application for the secondary applicant,float64,95.22,67,"[14.0, 8.0, 10.0, 6.0, 17.0]"
122,sec_app_revol_util,Ratio of total current balance to high credit/credit limit for all revolving accounts,float64,95.3,1216,"[80.0, 44.1, 59.0, 56.0, 32.1]"
123,sec_app_open_act_il,Number of currently active installment trades at time of application for the secondary applicant,float64,95.22,40,"[11.0, 1.0, 0.0, 2.0, 6.0]"
124,sec_app_num_rev_accts,Number of revolving accounts at time of application for the secondary applicant,float64,95.22,86,"[8.0, 6.0, 16.0, 11.0, 5.0]"
125,sec_app_chargeoff_within_12_mths,Number of charge-offs within last 12 months at time of application for the secondary applicant,float64,95.22,22,"[0.0, 4.0, 14.0, 1.0, 3.0]"
126,sec_app_collections_12_mths_ex_med,Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant,float64,95.22,18,"[2.0, 0.0, 1.0, 3.0, 5.0]"
127,sec_app_mths_since_last_major_derog,Months since most recent 90-day or worse rating at time of application for the secondary applicant,float64,98.41,140,"[37.0, 23.0, 26.0, 28.0, 62.0]"
